---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 13:33:59 (uptime: 0d, 00h 00m 08s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 2000
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 2002
flow.wrk.flows_injected                                      | Total                     | 2000
tcp.sessions                                                 | Total                     | 4022
tcp.ssn_from_cache                                           | Total                     | 384
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 10
tcp.segment_from_pool                                        | Total                     | 101
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 14
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 5
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 15
flow.end.state.closed                                        | Total                     | 2000
flow.end.tcp_state.closed                                    | Total                     | 2000
flow.mgr.full_hash_pass                                      | Total                     | 43
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10093
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 6227
flow.mgr.flows_notimeout                                     | Total                     | 4212
flow.mgr.flows_timeout                                       | Total                     | 2015
flow.mgr.flows_evicted                                       | Total                     | 2015
flow.mgr.flows_evicted_needs_work                            | Total                     | 2000
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 15
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 399360
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7933504
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:04:51 (uptime: 0d, 00h 07m 53s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8340
capture.afpacket.polls                                       | Total                     | 13313
capture.afpacket.poll_timeout                                | Total                     | 13184
capture.afpacket.poll_data                                   | Total                     | 129
decoder.pkts                                                 | Total                     | 8340
decoder.bytes                                                | Total                     | 506080
decoder.ipv4                                                 | Total                     | 8317
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8340
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8296
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 20
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 60
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 1312
flow.total                                                   | Total                     | 4044
flow.active                                                  | Total                     | 1315
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 11
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 2711
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 2724
flow.wrk.flows_injected                                      | Total                     | 2711
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 10
tcp.segment_from_pool                                        | Total                     | 108
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 5
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 18
flow.end.state.closed                                        | Total                     | 2711
flow.end.tcp_state.closed                                    | Total                     | 2711
flow.mgr.full_hash_pass                                      | Total                     | 44
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10283
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 7063
flow.mgr.flows_notimeout                                     | Total                     | 4334
flow.mgr.flows_timeout                                       | Total                     | 2729
flow.mgr.flows_evicted                                       | Total                     | 2729
flow.mgr.flows_evicted_needs_work                            | Total                     | 2711
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 18
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 380928
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7933504
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:04:59 (uptime: 0d, 00h 08m 01s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8340
capture.afpacket.polls                                       | Total                     | 13494
capture.afpacket.poll_timeout                                | Total                     | 13362
capture.afpacket.poll_data                                   | Total                     | 132
decoder.pkts                                                 | Total                     | 8348
decoder.bytes                                                | Total                     | 507112
decoder.ipv4                                                 | Total                     | 8325
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8348
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8304
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 20
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 60
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 1006
flow.total                                                   | Total                     | 4044
flow.active                                                  | Total                     | 1007
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 11
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 3017
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 3036
flow.wrk.flows_injected                                      | Total                     | 3017
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 109
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 5
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 20
flow.end.state.closed                                        | Total                     | 3017
flow.end.tcp_state.closed                                    | Total                     | 3017
flow.mgr.full_hash_pass                                      | Total                     | 45
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10693
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 7381
flow.mgr.flows_notimeout                                     | Total                     | 4344
flow.mgr.flows_timeout                                       | Total                     | 3037
flow.mgr.flows_evicted                                       | Total                     | 3037
flow.mgr.flows_evicted_needs_work                            | Total                     | 3017
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 20
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 372736
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7933504
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:05:07 (uptime: 0d, 00h 08m 09s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8360
capture.afpacket.polls                                       | Total                     | 13764
capture.afpacket.poll_timeout                                | Total                     | 13623
capture.afpacket.poll_data                                   | Total                     | 141
decoder.pkts                                                 | Total                     | 8360
decoder.bytes                                                | Total                     | 508772
decoder.ipv4                                                 | Total                     | 8337
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8360
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8312
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 24
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 60
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 693
flow.total                                                   | Total                     | 4045
flow.active                                                  | Total                     | 695
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 12
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 3330
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 3349
flow.wrk.flows_injected                                      | Total                     | 3330
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 113
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 20
flow.end.state.closed                                        | Total                     | 3330
flow.end.tcp_state.closed                                    | Total                     | 3330
flow.mgr.full_hash_pass                                      | Total                     | 46
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 10911
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 7703
flow.mgr.flows_notimeout                                     | Total                     | 4353
flow.mgr.flows_timeout                                       | Total                     | 3350
flow.mgr.flows_evicted                                       | Total                     | 3350
flow.mgr.flows_evicted_needs_work                            | Total                     | 3330
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 20
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 372736
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7911008
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:05:15 (uptime: 0d, 00h 08m 17s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8376
capture.afpacket.polls                                       | Total                     | 14036
capture.afpacket.poll_timeout                                | Total                     | 13890
capture.afpacket.poll_data                                   | Total                     | 146
decoder.pkts                                                 | Total                     | 8376
decoder.bytes                                                | Total                     | 512988
decoder.ipv4                                                 | Total                     | 8353
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8376
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8328
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 24
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 61
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 4045
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 12
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 4017
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 4037
flow.wrk.flows_injected                                      | Total                     | 4017
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 124
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 20
flow.end.state.closed                                        | Total                     | 4017
flow.end.tcp_state.closed                                    | Total                     | 4017
flow.mgr.full_hash_pass                                      | Total                     | 47
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 11032
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 8391
flow.mgr.flows_notimeout                                     | Total                     | 4354
flow.mgr.flows_timeout                                       | Total                     | 4037
flow.mgr.flows_evicted                                       | Total                     | 4037
flow.mgr.flows_evicted_needs_work                            | Total                     | 4017
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 20
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 376832
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7732864
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:05:23 (uptime: 0d, 00h 08m 25s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8376
capture.afpacket.polls                                       | Total                     | 14214
capture.afpacket.poll_timeout                                | Total                     | 14068
capture.afpacket.poll_data                                   | Total                     | 146
decoder.pkts                                                 | Total                     | 8376
decoder.bytes                                                | Total                     | 512988
decoder.ipv4                                                 | Total                     | 8353
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8376
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8328
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 24
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 61
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 4045
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 12
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 4017
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 4037
flow.wrk.flows_injected                                      | Total                     | 4017
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 4
tcp.segment_from_pool                                        | Total                     | 124
detect.alert                                                 | Total                     | 2
detect.alerts_suppressed                                     | Total                     | 12
app_layer.flow.ssh                                           | Total                     | 15
app_layer.flow.mdns                                          | Total                     | 6
app_layer.flow.failed_udp                                    | Total                     | 6
app_layer.tx.mdns                                            | Total                     | 6
flow.end.state.new                                           | Total                     | 20
flow.end.state.closed                                        | Total                     | 4017
flow.end.tcp_state.closed                                    | Total                     | 4017
flow.mgr.full_hash_pass                                      | Total                     | 47
flow.mgr.rows_per_sec                                        | Total                     | 6553
flow.spare                                                   | Total                     | 11032
flow.mgr.rows_maxlen                                         | Total                     | 2
flow.mgr.flows_checked                                       | Total                     | 8391
flow.mgr.flows_notimeout                                     | Total                     | 4354
flow.mgr.flows_timeout                                       | Total                     | 4037
flow.mgr.flows_evicted                                       | Total                     | 4037
flow.mgr.flows_evicted_needs_work                            | Total                     | 4017
memcap.pressure                                              | Total                     | 5
memcap.pressure_max                                          | Total                     | 5
defrag.memuse                                                | Total                     | 33554432
flow.recycler.recycled                                       | Total                     | 20
flow.recycler.queue_max                                      | Total                     | 1
tcp.memuse                                                   | Total                     | 1867776
tcp.reassembly_memuse                                        | Total                     | 376832
http.byterange.memuse                                        | Total                     | 168384
http.byterange.memcap                                        | Total                     | 104857600
ippair.memuse                                                | Total                     | 398144
ippair.memcap                                                | Total                     | 16777216
host.memuse                                                  | Total                     | 382144
host.memcap                                                  | Total                     | 33554432
flow.memuse                                                  | Total                     | 7732864
---------------------------------------------------------------------------------------------------
Date: 4/19/2026 -- 14:05:31 (uptime: 0d, 00h 08m 33s)
---------------------------------------------------------------------------------------------------
Counter                                                      | TM Name                   | Value
---------------------------------------------------------------------------------------------------
capture.kernel_packets                                       | Total                     | 8376
capture.afpacket.polls                                       | Total                     | 14467
capture.afpacket.poll_timeout                                | Total                     | 14321
capture.afpacket.poll_data                                   | Total                     | 146
decoder.pkts                                                 | Total                     | 8376
decoder.bytes                                                | Total                     | 512988
decoder.ipv4                                                 | Total                     | 8353
decoder.ipv6                                                 | Total                     | 9
decoder.ethernet                                             | Total                     | 8376
decoder.arp                                                  | Total                     | 14
decoder.tcp                                                  | Total                     | 8328
tcp.syn                                                      | Total                     | 4027
tcp.synack                                                   | Total                     | 26
tcp.rst                                                      | Total                     | 4011
tcp.urg                                                      | Total                     | 5
decoder.udp                                                  | Total                     | 24
decoder.icmpv4                                               | Total                     | 6
decoder.icmpv6                                               | Total                     | 4
decoder.avg_pkt_size                                         | Total                     | 61
decoder.max_pkt_size                                         | Total                     | 1634
tcp.active_sessions                                          | Total                     | 6
flow.total                                                   | Total                     | 4045
flow.active                                                  | Total                     | 8
flow.tcp                                                     | Total                     | 4028
flow.udp                                                     | Total                     | 12
flow.icmpv4                                                  | Total                     | 1
flow.icmpv6                                                  | Total                     | 4
flow.wrk.spare_sync_avg                                      | Total                     | 92
flow.wrk.spare_sync                                          | Total                     | 36
flow.wrk.spare_sync_incomplete                               | Total                     | 13
decoder.event.icmpv4.unknown_code                            | Total                     | 2
flow.wrk.flows_evicted_needs_work                            | Total                     | 4017
flow.wrk.flows_evicted_pkt_inject                            | Total                     | 4037
flow.wrk.flows_injected                                      | Total                     | 4017
tcp.sessions                                                 | Total                     | 4023
tcp.ssn_from_cache                                           | Total                     | 385
tcp.ssn_from_pool                                            | Total                     | 3638
tcp.pseudo                                                   | Total                     | 12
tcp.segment_from_cache                                       | Total                     | 4
